name,author,narrator,time,releasedate,language,stars,price,ratings
Geronimo Stilton #11 & #12,Geronimo Stilton,Bill Lobely,140,2008-08-04,English,5.0,468.00,34
The Burning Maze,Rick Riordan,Robbie Daymond,788,2018-05-01,English,4.5,820.00,41
The Deep End,Jeff Kinney,Dan Russell,123,2020-11-06,English,4.5,410.00,38
Daughter of the Deep,Rick Riordan,Soneela Nankani,676,2021-10-05,English,4.5,615.00,12
"The Lightning Thief: Percy Jackson, Book 1",Rick Riordan,Jesse Bernstein,600,2010-01-13,English,4.5,820.00,181
The Hunger Games: Special Edition,Suzanne Collins,Tatiana Maslany,635,2018-10-30,English,5.0,656.00,72
Quest for the Diamond Sword,Winter Morgan,Luke Daniels,143,2014-11-25,English,5.0,233.00,11
The Dark Prophecy,Rick Riordan,Robbie Daymond,752,2017-05-02,English,5.0,820.00,50
Merlin Mission Collection,Mary Pope Osborne,Mary Pope Osborne,656,2017-05-02,English,5.0,"1,256.00",5
The Tyrant’s Tomb,Rick Riordan,Robbie Daymond,802,2019-09-24,English,5.0,820.00,58
"The Titan's Curse: Percy Jackson, Book 3",Rick Riordan,Jesse Bernstein,528,2010-01-14,English,4.5,820.00,130
Magic Tree House Collection: Books 9-16,Mary Pope Osborne,Mary Pope Osborne,323,2011-08-24,English,5.0,"1,206.00",6
Magic Tree House Collection: Books 1-8,Mary Pope Osborne,Mary Pope Osborne,361,2011-09-27,English,5.0,"1,206.00",7
Magnus Chase and the Ship of the Dead,Rick Riordan,Michael Crouch,778,2017-10-03,English,5.0,820.00,41
Northern Lights,Philip Pullman,"Philip Pullman,fullcast,Ruth Wilson",715,2021-06-24,English,4.0,"1,093.00",2
Geronimo Stilton #13 and #14,Geronimo Stilton,Bill Lobley,145,2008-02-08,English,4.5,467.00,33
Magic Tree House Collection,Mary Pope Osborne,Mary Pope Osborne,304,2004-12-26,English,5.0,"1,206.00",7
Exile,Shannon Messenger,Caitlin Kelly,881,2018-11-06,English,5.0,836.00,20
Merlin Mission Collection,Mary Pope Osborne,Mary Pope Osborne,618,2017-05-02,English,5.0,"1,256.00",11
Neverseen,Shannon Messenger,Caitlin Kelly,1002,2018-11-06,English,5.0,"1,003.00",13
The Tower of Nero,Rick Riordan,Robbie Daymond,732,2020-10-06,English,5.0,615.00,79
"Eldest: The Inheritance Cycle, Book 2",Christopher Paolini,Gerrard Doyle,1409,2009-04-14,English,4.5,957.00,47
Artemis Fowl,Eoin Colfer,Gerry O'Brien,406,2013-04-11,English,5.0,683.00,27
Geronimo Stilton 22 & 24,Geronimo Stilton,Bill Lobley,157,2011-02-01,English,4.5,469.00,25
Percy Jackson and the Battle of the Labyrinth,Rick Riordan,Jesse Bernstein,632,2010-01-21,English,5.0,820.00,101
Winnie-the-Pooh,A.A.Milne,Peter Dennis,166,2003-12-28,English,5.0,468.00,15
Magic Tree House Collection: Books 25-32,Mary Pope Osborne,Mary Pope Osborne,429,2020-09-01,English,5.0,"1,256.00",3
Geronimo Stilton #20 and #21,Geronimo Stilton,Bill Lobley,152,2010-10-01,English,5.0,469.00,18
The Red Pyramid,Rick Riordan,"Jane Collingwood,Joseph May",824,2013-01-24,English,4.5,820.00,37
Mystery of the Griefer's Mark,Winter Morgan,Luke Daniels,113,2014-11-25,English,5.0,233.00,9
Geronimo Stilton #17,Geronimo Stilton,Bill Lobley,148,2009-07-13,English,5.0,468.00,8
The House at Pooh Corner,A.A.Milne,Peter Dennis,192,2005-04-05,English,5.0,374.00,5
Mission Unstoppable,Dan Gutman,Michael Goldstrom,368,2013-08-01,English,5.0,702.00,8
Darkness of Dragons,Tui T.Sutherland,Shannon Mc Manus,626,2017-08-01,English,5.0,656.00,8
The Adventures of Rusty,Ruskin Bond,Neha Gargava,341,2018-11-01,Hindi,4.5,284.00,10
Geronimo Stilton #15 and #16,Geronimo Stilton,Bill Lobley,163,2008-02-08,English,4.0,467.00,28
The Lost Heir,Tui T.Sutherland,Shannon Mc Manus,443,2016-02-04,English,5.0,575.00,9
Everblaze,Shannon Messenger,Caitlin Kelly,879,2018-11-06,English,5.0,836.00,18
Treasure Hunters in Trouble,Winter Morgan,Luke Daniels,118,2015-03-31,English,5.0,668.00,7
Lodestar,Shannon Messenger,Caitlin Kelly,991,2018-11-06,English,5.0,"1,003.00",19
Curse of the Arctic Star,Carolyn Keene,Jorjeana Marie,215,2014-12-28,English,4.5,305.00,25
The Ghost of Grey Fox Inn,Carolyn Keene,Jorjeana Marie,199,2017-03-20,English,5.0,305.00,11
Rowley Jefferson's Awesome Friendly Adventure,Jeff Kinney,Christopher Gebauer,91,2020-08-04,English,4.0,410.00,16
Flashback,Shannon Messenger,Caitlin Kelly,1389,2018-12-11,English,5.0,"1,170.00",12
Secret of the Red Arrow,Franklin W.Dixon,Tim Gregory,213,2015-11-04,English,4.5,305.00,16
"The Lightning Thief: Percy Jackson, Book 1",Rick Riordan,Walter Lewis,231,2010-01-13,English,4.0,615.00,4
Clash of the Creepers,Winter Morgan,Luke Daniels,121,2015-07-07,English,5.0,233.00,10
The Skeletons Strike Back,Winter Morgan,Luke Daniels,121,2015-07-07,English,5.0,233.00,7
Dragonslayer,Tui T.Sutherland,Shannon Mc Manus,764,2020-03-03,English,5.0,656.00,17
The Dark Secret,Tui T.Sutherland,Shannon Mc Manus,455,2016-07-01,English,5.0,575.00,9
The Gruffalo's Child,"Julia Donaldson,Axel Scheffler",Imelda Staunton,22,2010-08-19,English,4.5,323.00,4
Merlin Mission Collection,Mary Pope Osborne,Mary Pope Osborne,804,2017-05-02,English,5.0,"1,256.00",8
Keys to the Demon Prison,Brandon Mull,E.B.Stevens,1057,2013-08-01,English,5.0,516.00,1
Legacy,Shannon Messenger,Caitlin Kelly,1375,2019-11-05,English,5.0,"1,170.00",14
The Endermen Invasion,Winter Morgan,Luke Daniels,122,2015-05-26,English,5.0,233.00,5
Captain Underpants and the Revolting Revenge of the Radioactive Robo-Boxers,Dav Pilkey,"Len Forgione,Ashton Sundholm,Jaden Rogers",130,2021-11-02,English,5.0,445.00,1
You Only Die Twice,Dan Gutman,Michael Goldstrom,349,2013-09-17,English,5.0,585.00,5
From Texas with Love,Dan Gutman,Michael Goldstrom,327,2014-01-28,English,5.0,702.00,6
The Dragonet Prophecy,Tui T.Sutherland,Shannon Mc Manus,512,2012-07-01,English,5.0,820.00,11
Dangerous Gift,Tui T.Sutherland,Shannon Mc Manus,471,2021-03-02,English,5.0,445.00,9
"The 39 Clues, Book 6",Jude Watson,David Pittu,310,2009-11-06,English,5.0,468.00,4
Never Say Genius,Dan Gutman,Michael Goldstrom,327,2013-08-23,English,5.0,585.00,8
The Madman of Black Bear Mountain,Franklin W.Dixon,Tim Gregory,174,2016-06-07,English,5.0,305.00,3
Tiger Honor,Yoon Ha Lee,Elissa Park,456,2022-01-04,English,5.0,586.00,1
The Amulet of Samarkand,Jonathan Stroud,Steven Pacey,570,2007-02-01,English,5.0,683.00,17
Rowley Jefferson's Awesome Friendly Spooky Stories,Jeff Kinney,Christopher Gebauer,89,2021-03-16,English,3.5,410.00,7
Lost in the End,Winter Morgan,Summer Mc Cusker,103,2016-04-06,English,5.0,233.00,5
Trouble Island,Franklin W.Dixon,Tim Gregory,264,2021-06-01,English,5.0,305.00,2
Riverboat Roulette,Carolyn Keene,Jorjeana Marie,166,2017-03-20,English,5.0,305.00,4
Discoveries in the Overworld,Winter Morgan,Summer Mc Cusker,109,2016-04-06,English,5.0,233.00,4
The Last Human,Lee Bacon,Paul Panting,402,2019-10-03,English,5.0,949.00,7
An Explorer's Guide to the Nether,Winter Morgan,Summer Mc Cusker,110,2016-03-30,English,5.0,233.00,4
The Midnight Gang,David Walliams,"David Walliams,Peter Serafinowicz,Morwenna Banks,",369,2016-11-15,English,4.5,322.00,3
The Squad of Lucky Landing: An Unofficial Fortnite Adventure Novel,Devin Hunter,Ramon De Ocampo,131,2018-10-30,English,5.0,585.00,2
A Boy Called Christmas,Matt Haig,Stephen Fry,272,2016-11-03,English,4.5,569.00,21
"The 39 Clues, Book 4",Jude Watson,David Pittu,277,2009-06-23,English,5.0,468.00,6
"The 39 Clues, Book 3",Peter Lerangis,David Pittu,231,2009-03-03,English,5.0,468.00,9
The Disappearance,Franklin W.Dixon,Tim Gregory,230,2019-05-14,English,4.0,305.00,1
Billionaire Boy,David Walliams,"David Walliams,Nitin Ganatra",188,2011-06-09,English,5.0,266.00,1
The Blue Lady of Coffin Hall,Carolyn Keene,Jorjeana Marie,232,2022-01-04,English,5.0,305.00,2
Unlocked,Shannon Messenger,Caitlin Kelly,962,2021-06-04,English,3.0,836.00,5
The Vanishing Statue,Carolyn Keene,Jorjeana Marie,245,2020-06-16,English,5.0,305.00,6
Eye of the Earthquake Dragon,Tracey West,Emily Ellet,45,2020-08-04,English,5.0,164.00,1
Peril at Granite Peak,Franklin W.Dixon,Tim Gregory,210,2016-01-21,English,5.0,305.00,3
The Disappearance of Emily Downs,C.J.Redwine,Mia Sinclair Jenness,296,2021-09-30,English,5.0,"1,003.00",1
Into Thin Air,Franklin W.Dixon,Tim Gregory,159,2016-01-21,English,5.0,305.00,10
Once upon a Thriller,Carolyn Keene,Jorjeana Marie,141,2015-09-24,English,5.0,305.00,12
The Magician's Nephew,C.S.Lewis,Kenneth Branagh,235,2005-08-29,English,5.0,303.00,7
The Snail and the Whale,Julia Donaldson,Imelda Staunton,23,2008-10-07,English,5.0,323.00,5
Tigers for Dinner,Ruskin Bond,Adnan Kapadia,39,2017-01-01,English,4.5,284.00,20
The Hidden Kingdom,Tui T.Sutherland,Shannon Mc Manus,454,2016-07-01,English,5.0,575.00,9
Eagle Strike,Anthony Horowitz,Oliver Chris,417,2021-05-20,English,5.0,569.00,2
Mystery on the Mayhem Express,Franklin W.Dixon,Tim Gregory,238,2021-06-22,English,5.0,305.00,1
Tunnel of Secrets,Franklin W.Dixon,Tim Gregory,183,2015-11-02,English,5.0,305.00,3
"The 39 Clues: Unstoppable, Book 3",Natalie Standiford,David Pittu,289,2014-05-01,English,4.5,410.00,2
Treasure Island,Robert Louis Stevenson,Sam Taylor,404,2019-09-06,English,4.0,32.00,4
Minecraft: The Dragon,Nicky Drayden,Nicole Lewis,411,2021-07-06,English,5.0,"1,005.00",1
Escape from Falaise,John Flanagan,John Keating,457,2021-12-01,English,4.5,797.00,2
Trapped in the Overworld,Winter Morgan,Nicol Zanzarella,114,2016-06-30,English,5.0,233.00,3
The 143-Storey Treehouse,"Andy Griffiths,Terry Denton",Stig Wemyss,100,2021-10-19,English,5.0,323.00,1
Poison Jungle,Tui T.Sutherland,Shannon Mc Manus,445,2019-07-30,English,5.0,656.00,10
39 Clues: Cahills vs. Vespers,Gordon Korman,David Pittu,322,2011-08-30,English,5.0,586.00,5
The Last Kids on Earth: June's Wild Flight,"Max Brallier,Douglas Holgate",Montse Hernandez,196,2020-04-07,English,5.0,754.00,3
Captain Underpants and the Terrifying Return of Tippy Tinkletrousers,Dav Pilkey,"Len Forgione,Winston Bromhead,I'ke Mitchell",159,2021-04-02,English,5.0,492.00,5
Star Wars: The High Republic: A Test of Courage,Justina Ireland,Keylor Leigh,274,2021-01-05,English,4.0,754.00,2
The Red Slippers,Carolyn Keene,Jorjeana Marie,173,2015-12-24,English,5.0,305.00,9
Captain Underpants and the Preposterous Plight of the Purple Potty People,Dav Pilkey,"Len Forgione,Winston Bromhead,I'ke Mitchell",75,2021-01-19,English,5.0,258.00,1
The Magician's Secret,Carolyn Keene,Jorjeana Marie,162,2015-12-24,English,4.5,305.00,7
The Case of the Bizarre Bouquets,Nancy Springer,Katherine Kellgren,219,2008-04-11,English,4.5,609.00,3
The Phantom of Nantucket,Carolyn Keene,Jorjeana Marie,196,2015-12-24,English,5.0,305.00,5
The Swamp Robber,Paul Hutchens,Aimee Lilly,164,2018-09-18,English,5.0,234.00,1
The Magic Finger,Roald Dahl,Kate Winslet,26,2014-09-11,English,4.5,615.00,14
The Adventures of Captain Underpants,Dav Pilkey,"Len Forgione,Dazjon Freeman,Ben D'Amico",60,2018-05-22,English,4.5,258.00,13
Secret at Mystic Lake,Carolyn Keene,Jorjeana Marie,156,2015-09-28,English,4.5,305.00,14
"I Survived the Sinking of the Titanic, 1912",Lauren Tarshis,Lauren Fortgang,76,2016-03-29,English,5.0,187.00,1
Showdown at Widow Creek,Franklin W.Dixon,Tim Gregory,166,2016-02-02,English,5.0,305.00,3
Case of the Missing Marquess,Nancy Springer,Katherine Kellgren,271,2008-10-22,English,4.5,726.00,3
Nightshade,Anthony Horowitz,Rupert Degas,607,2020-05-28,English,4.5,645.00,11
Mystery of the Phantom Heist,Franklin W.Dixon,Tim Gregory,179,2015-11-02,English,5.0,305.00,6
The Golem's Eye,Jonathan Stroud,Steven Pacey,576,2007-06-01,English,5.0,683.00,7
Howl of the Wind Dragon,Tracey West,Emily Ellet,47,2021-11-02,English,5.0,258.00,1
Pony,R.J.Palacio,"Ian M.Hawkins,R.J.Palacio",433,2021-09-28,English,4.0,615.00,1
Sparrow Rising,Jessica Khoury,"Michael Gallagher,Emily Eiden",491,2021-08-03,English,5.0,586.00,1
The Beatryce Prophecy,Kate Di Camillo,Finty Williams,259,2021-09-28,English,4.0,"1,005.00",1
The Unadoptables,Hana Tooke,Gemma Whelan,567,2020-07-23,English,5.0,615.00,1
The Professor and the Puzzle,Carolyn Keene,Jorjeana Marie,221,2017-09-01,English,5.0,305.00,7
"The 39 Clues, Book 5",Patrick Carman,David Pittu,240,2009-08-11,English,5.0,468.00,8
Scorpia,Anthony Horowitz,Oliver Chris,506,2020-01-30,English,4.5,645.00,2
A Con Artist in Paris,Franklin W.Dixon,Tim Gregory,180,2017-09-05,English,4.5,305.00,4
Tunnel of Bones,Victoria Schwab,Reba Buhr,305,2019-09-03,English,4.5,492.00,8
The 13-Storey Treehouse,Andy Griffiths,Stig Wemyss,96,2017-05-10,English,5.0,323.00,1
"The 39 Clues, Book 9",Linda Sue Park,David Pittu,285,2010-05-24,English,5.0,469.00,7
Kid Normal and the Rogue Heroes,"Chris Smith,Greg James","Chris Smith,Greg James",378,2018-12-06,English,5.0,569.00,5
Treasure of the Gold Dragon,Tracey West,Emily Ellet,45,2020-08-04,English,4.0,164.00,1
"The 1,000-Year-Old Boy",Ross Welford,"Chris Coxon,Luke Johnson",444,2018-01-11,English,4.5,322.00,11
Strangers on a Train,Carolyn Keene,Jorjeana Marie,199,2014-12-28,English,4.5,305.00,17
Darkstalker,Tui T.Sutherland,Shannon Mc Manus,590,2016-07-01,English,5.0,656.00,11
Dinosaurs Before Dark,Mary Pope Osborne,Mary Pope Osborne,41,2006-08-22,English,5.0,301.00,1
The Monkey King,Shobha Viswanath,Saeed Jaffrey,27,2020-03-06,English,5.0,284.00,4
Getting Granny’s Glasses,Ruskin Bond,Ruskin Bond,19,2019-11-29,English,4.0,200.00,4
Where the Red Fern Grows,Wilson Rawls,Anthony Heald,416,2003-10-24,English,4.5,"1,005.00",7
"The 39 Clues, Book 10",Margaret Peterson Haddix,David Pittu,428,2010-09-23,English,5.0,469.00,7
"Captain Underpants and the Big, Bad Battle of the Bionic Booger Boy, Part 2",Dav Pilkey,"Len Forgione,Ben D'Amico,I’ke Mitchell",83,2020-11-03,English,4.0,258.00,1
The Carpet People,Terry Pratchett,David Tennant,302,2021-04-22,English,5.0,615.00,1
Clash at Fatal Fields,Devin Hunter,Ramonde Ocampo,133,2018-08-28,English,5.0,585.00,1
Deception on the Set,Franklin W.Dixon,Tim Gregory,161,2016-05-23,English,5.0,305.00,4
A Script for Danger,Carolyn Keene,Jorjeana Marie,176,2015-09-22,English,4.5,305.00,5
The Battle of Bayport,Franklin W.Dixon,Tim Gregory,210,2016-03-07,English,5.0,305.00,6
Moon Rising,Tui T.Sutherland,Shannon Mc Manus,450,2016-08-29,English,5.0,575.00,6
Captain Underpants and the Attack of the Talking Toilets,Dav Pilkey,"Len Forgione,Dazjon Freeman,Ben D'Amico",59,2018-06-26,English,5.0,258.00,5
Holes,Louis Sachar,Kerry Beyer,270,2016-05-24,English,4.5,417.00,15
"The 39 Clues, Book 1",Rick Riordan,David Pittu,311,2008-08-29,English,4.5,468.00,11
Skeleton Key,Anthony Horowitz,Oliver Chris,419,2020-04-09,English,5.0,569.00,3
Demon Dentist,David Walliams,David Walliams,286,2013-10-03,English,5.0,265.00,3
Hidden Pictures,Carolyn Keene,Jorjeana Marie,192,2020-01-14,English,4.5,305.00,9
The Lost Continent,Tui T.Sutherland,Shannon Mc Manus,503,2018-06-26,English,4.5,656.00,4
Unicorn Academy: Ariana and Whisper,Julie Sykes,Kristin Atherton,96,2020-10-08,English,5.0,266.00,1
A Long Walk to Water,Linda Sue Park,"David Baker,Cynthia Bishop",161,2013-11-07,English,5.0,797.00,3
Talons of Power,Tui T.Sutherland,Shannon Mc Manus,472,2017-01-01,English,5.0,586.00,7
Bound for Danger,Franklin W.Dixon,Tim Gregory,219,2017-03-20,English,5.0,305.00,4
"Captain Underpants and the Big, Bad Battle of the Bionic Booger Boy, Part 1: The Night of the Nasty Nostril Nuggets",Dav Pilkey,"Len Forgione,Dazjon Freeman,Ben D'Amico",70,2018-10-16,English,5.0,258.00,5
City of Thieves,Alex London,A.J.Beckles,380,2021-09-21,English,5.0,586.00,1
Mystery of the Midnight Rider,Carolyn Keene,Jorjeana Marie,193,2014-12-28,English,5.0,305.00,8
The Smoke Thieves,Sally Green,"Charlie Anson,Pippa Bennett-Warner,Yasmin Paige,",798,2018-05-03,English,5.0,820.00,1
The Haunting on Heliotrope Lane,Carolyn Keene,Jorjeana Marie,183,2018-01-02,English,4.0,305.00,9
The Stolen Show,Carolyn Keene,Jorjeana Marie,199,2019-09-24,English,5.0,305.00,5
Minecraft: The Crash,Tracey Baptiste,January La Voy,438,2018-07-12,English,5.0,683.00,5
Scorpia Rising,Anthony Horowitz,Dan Stevens,566,2020-04-09,English,5.0,645.00,2
Three Tales of My Father's Dragon,Ruth Stiles Gannett,Robert Serva,144,2016-08-16,English,5.0,"1,005.00",2
Captain Underpants and the Perilous Plot of Professor Poopypants,Dav Pilkey,"Len Forgione,Dazjon Freeman,Ben D'Amico",63,2018-09-18,English,4.0,258.00,4
Captain Underpants and the Invasion of the Incredibly Naughty Cafeteria Ladies from Outer Space,Dav Pilkey,"Len Forgione,Dazjon Freeman,Ben D'Amico",55,2018-07-31,English,4.0,258.00,5
Famous Mistakes,Carolyn Keene,Jorjeana Marie,185,2019-01-15,English,5.0,305.00,5
Minecraft: The Lost Journals,Mur Lafferty,Emily Schaffer,429,2019-07-11,English,4.5,888.00,7
The Witch's Boy,Kelly Barnhill,Ralph Lister,598,2020-06-25,English,5.0,"1,328.00",1
The Hive Queen,Tui T.Sutherland,Shannon Mc Manus,413,2018-12-26,English,5.0,586.00,8
Nightfall,Shannon Messenger,Caitlin Kelly,1252,2018-11-06,English,5.0,"1,170.00",14
The Curse of the Ancient Emerald,Franklin W.Dixon,Tim Gregory,173,2016-05-23,English,5.0,305.00,4
The Last Kids on Earth and the Skeleton Road,"Max Brallier,Douglas Holgate-illustrator",Robbie Daymond,262,2020-09-15,English,5.0,754.00,1
Doctor Who: Thirteen Doctors 13 Stories,"Naomi Alderman,Malorie Blackman,Holly Black,",fullcast,857,2019-03-07,English,5.0,820.00,1
The Gray Hunter's Revenge,Franklin W.Dixon,Tim Gregory,196,2018-10-09,English,5.0,305.00,3
Magisterium: The Iron Trial,"Cassandra Clare,Holly Black",Paul Boehmer,637,2015-10-29,English,4.5,752.00,6
Mr. Lemoncello's Great Library Race,Chris Grabenstein,"Jesse Bernstein,Chris Grabenstein",406,2017-10-10,English,5.0,"1,005.00",4
The Fourth Closet,"Scott Cawthon,Kira Breed-Wrisley",Suzanne Elise Freeman,608,2018-06-26,English,5.0,586.00,2
Power of the Fire Dragon,Tracey West,Emily Ellet,47,2020-06-02,English,4.0,164.00,1
Magisterium: The Golden Tower,"Cassandra Clare,Holly Black",Paul Boehmer,438,2018-09-06,English,5.0,683.00,2
The Troll,Julia Donaldson,Alex Jennings,31,2010-09-03,English,5.0,323.00,2
Lockwood & Co.,Jonathan Stroud,Katie Lyons,697,2014-09-25,English,5.0,752.00,3
Ben Braver and the Vortex of Doom,Marcus Emerson,Ramonde Ocampo,262,2020-08-25,English,5.0,469.00,1
The Magic Misfits: The Second Story,Neil Patrick Harris,"Neil Patrick Harris,Christina Hendricks",333,2018-09-25,English,5.0,664.00,2
Tiger's Curse,Colleen Houck,"Annika Boras,Sanjiv Jahveri",941,2011-05-04,English,5.0,"1,003.00",1
Just William - More William,Richmal Crompton,Martin Jarvis,304,2009-02-09,English,5.0,512.00,1
Public Enemy Number Two,Anthony Horowitz,Nickolas Grace,267,2008-04-22,English,5.0,664.00,1
Mercy Watson #3,Kate Di Camillo,Ron Mc Larty,20,2007-06-08,English,5.0,200.00,2
A to Z Mysteries: The Zombie Zone,Ron Roy,David Pittu,61,2011-03-08,English,4.0,402.00,1
Wizard for Hire,Obert Skye,Kirby Heyborne,572,2018-03-06,English,4.5,820.00,2
The Jungle Book,Rudyard Kipling,Rhashan Stone,300,2018-05-31,English,3.0,615.00,1
LEGO Ninjago: Brick Adventures #1: Brother/Sister Squad,Meredith Rusu,"Cassandra Morris,Lucien Dodge",31,2018-05-22,English,5.0,164.00,1
The Emperor of Nihon-Ja,John Flanagan,William Zappa,806,2012-07-27,English,5.0,702.00,1
The Missing Prince,John Flanagan,John Keating,519,2020-11-03,English,4.0,797.00,2
The Star of Kazan,Eva Ibbotson,Ruth Jones,385,2008-04-29,English,5.0,323.00,1
Shoe Wars,Liz Pichon,Joanna Scanlon,303,2021-04-27,English,5.0,"1,063.00",1
"Fablehaven, Book 2",Brandon Mull,E.B.Stevens,712,2013-05-24,English,5.0,468.00,1
Winter Turning,Tui T.Sutherland,Shannon Mc Manus,450,2017-01-01,English,4.5,586.00,10
"The 39 Clues, Book 7",Peter Lerangis,David Pittu,296,2010-02-02,English,5.0,468.00,7
Trust No One,Linda Sue Park,David Pittu,281,2012-12-04,English,5.0,586.00,1
Hansel and Gretel,Brothers Grimm,Katie Haigh,17,2015-12-17,English,4.0,187.00,1
The 39 Clues: Flashpoint,Gordon Korman,David Pittu,335,2014-09-01,English,4.5,410.00,2
Earthquake,Ruskin Bond,Ruskin Bond,42,2019-12-04,English,5.0,200.00,2
Stolen Identity,Franklin W.Dixon,Tim Gregory,167,2018-02-20,English,5.0,305.00,6
The 39 Clues,C.Alexander London,David Pittu,289,2015-08-01,English,5.0,434.00,2
George's Cosmic Treasure Hunt,"Lucy Hawking,Stephen Hawking","James Goode,Lucy Hawking",368,2009-03-28,English,5.0,615.00,1
Magisterium: The Copper Gauntlet,"Cassandra Clare,Holly Black",Paul Boehmer,501,2016-10-20,English,5.0,683.00,4
Stormspeaker,Christina Diaz Gonzalez,Nicola Barber,296,2018-01-30,English,5.0,445.00,1
Black Beauty,Anna Sewell,Ralph Cosham,321,2011-12-22,English,4.0,668.00,1
The Count of Monte Cristo,Alexandre Dumas,Bill Homewood,158,2000-10-26,English,5.0,333.00,1
The Boy Who Dreamed of Dragons,Andy Shepherd,Ewan Goddard,244,2020-06-11,English,5.0,569.00,1
George and the Blue Moon,"Lucy Hawking,Stephen Hawking","Roy Mc Millan,Sophie Aldred",427,2017-03-02,English,4.5,683.00,2
Escaping Peril,Tui T.Sutherland,Shannon Mc Manus,422,2016-02-04,English,5.0,575.00,6
Rise and Fall,Eliot Schrefer,Nicola Barber,310,2015-01-01,English,4.0,492.00,1
George and the Unbreakable Code,"Lucy Hawking,Stephen Hawking","Roy Mc Millan,Sophie Aldred",414,2016-07-28,English,5.0,683.00,2
George and the Ship of Time,Lucy Hawking,"Roy Mc Millan,Sophie Aldred",461,2018-05-03,English,5.0,683.00,2
Shadows at Predator Reef,Franklin W.Dixon,Tim Gregory,173,2016-05-23,English,5.0,305.00,8
Charlie Cook's Favourite Book,"Julia Donaldson,Axel Scheffler","Imelda Staunton,Steven Pacey",17,2008-10-23,English,5.0,323.00,2
Ringo & the Yogi,Prasun Roy,Siddhanta Pinto,318,2019-11-19,English,4.0,Free,4
The Miraculous Journey of Edward Tulane,Kate Di Camillo,Judith Ivey,115,2006-01-01,English,4.5,501.00,2
The Mercy Watson Collection,Kate Di Camillo,Ron Mc Larty,40,2006-01-01,English,5.0,502.00,2
The Green Ember,S.D.Smith,Joel Clarkson,475,2015-02-04,English,4.5,668.00,3
The Burning Tide,Jonathan Auxier,Nicola Barber,279,2016-09-13,English,5.0,492.00,1
My Side of the Mountain,Jean Craighead George,Michael Crouch,276,2017-12-05,English,5.0,754.00,4
Magisterium: The Silver Mask,"Cassandra Clare,Holly Black",Paul Boehmer,434,2017-10-12,English,5.0,683.00,4
Battle for Loot Lake: An Unofficial Fortnite Adventure Novel,Devin Hunter,Ramonde Ocampo,127,2018-09-18,English,5.0,585.00,2
The Magic Misfits: The Minor Third,Neil Patrick Harris,"Neil Patrick Harris,Trey Hall",318,2019-09-10,English,5.0,664.00,1
Hurricane Heroes in Texas,Mary Pope Osborne,Mary Pope Osborne,73,2018-08-07,English,5.0,402.00,1
Attack of the Bayport Beast,Franklin W.Dixon,Tim Gregory,158,2017-03-20,English,5.0,305.00,4
"The 39 Clues, Book 8: The Emperor's Code",Gordon Korman,David Pittu,297,2010-04-06,English,5.0,468.00,4
City of the Plague God,Sarwat Chadda,Vikas Adam,623,2021-01-22,English,4.5,930.00,5
Spirit Animals,Maggie Stiefvater,Nicola Barber,316,2014-01-01,English,5.0,492.00,2
Wild Born,Brandon Mull,Nicola Barber,336,2013-09-10,English,4.5,492.00,3
Point Blanc,Anthony Horowitz,Oliver Chris,340,2020-01-30,English,5.0,569.00,6
A to Z Mysteries: The Invisible Island,Ron Roy,David Pittu,55,2019-08-12,English,5.0,402.00,1
Grandpa's Great Escape,David Walliams,"David Walliams,Nitin Ganatra,Michael Gambon",349,2015-09-24,English,5.0,377.00,2
"Cahills vs. Vespers, Book 6: Day of Doom",David Baldacci,David Pittu,383,2013-03-05,English,5.0,586.00,4
The Smartest Kid in the Universe,Chris Grabenstein,Kirby Heyborne,347,2020-12-01,English,5.0,904.00,3
The Vanishing Game,Franklin W.Dixon,Tim Gregory,187,2015-11-02,English,5.0,305.00,6
The Sign in the Smoke,Carolyn Keene,Jorjeana Marie,271,2016-05-10,English,4.5,305.00,7
Ark Angel,Anthony Horowitz,Oliver Chris,502,2020-01-30,English,4.5,645.00,3
Minecraft: The End,Catherynne M.Valente,Emily Schaffer,491,2019-12-05,English,4.5,888.00,6
When Did You See Her Last?,Lemony Snicket,Liam Aiken,262,2013-10-18,English,5.0,417.00,1
Ratburger,David Walliams,"David Walliams,Nitin Ganatra",219,2012-09-19,English,5.0,266.00,1
Against the Tide,Tui T.Sutherland,Nicola Barber,298,2014-10-01,English,4.0,492.00,1
The Sage's Secret,Abhinav,Gaurav Marwa,406,2019-06-25,English,4.5,754.00,2
Clifford Takes a Trip,Norman Bridwell,Stephanie D'Abruzzo,4,2008-02-08,English,3.5,65.00,2
City of Ghosts,Victoria Schwab,Reba Buhr,302,2018-08-28,English,4.5,492.00,12
Unicorn Academy: Sophia and Rainbow,Julie Sykes,Kristin Atherton,89,2020-04-02,English,4.5,266.00,2
Escape from Mr. Lemoncello's Library,Chris Grabenstein,Jesse Bernstein,379,2014-01-07,English,4.5,904.00,6
The Brightest Night,Tui T.Sutherland,Shannon Mc Manus,484,2016-08-29,English,5.0,575.00,9
Billy and the Minpins,Roald Dahl,Bill Bailey,47,2017-09-07,English,4.5,615.00,6
The Summer I Robbed a Bank,David O'Doherty,David O'Doherty,246,2021-05-27,English,4.0,410.00,1
La Belle Sauvage,Philip Pullman,Michael Sheen,794,2017-10-19,English,5.0,957.00,12
